COSTCLUSTER_CRD_INDICATOR,COSTCLUSTER_PK,COST_CLUSTER (L0),COST_CLUSTER (L1),COST_CLUSTER (L2),COST_CLUSTER (L3),COST_CLUSTER (L4),COST_CLUSTER (L5)
CIB,;L0CIB;L1Banking;L2GCM ex FRisk;L3SPC Global Banking Head;L4SPC Global Banking Head;L5Globally Managed;,CIB,Banking,GCM ex FRisk,SPC Global Banking Head,SPC Global Banking Head,Globally Managed
CIB,;L0CIB;L1Banking;L2GCM ex FRisk;L3Transportation Finance;L4Shipping Finance;L5Globally Managed;,CIB,Banking,GCM ex FRisk,Transportation Finance,Shipping Finance,Globally Managed
CIB,;L0CIB;L1Banking;L2GCM ex FRisk;L3Transportation Finance;L4Transportation Finance;L5Globally Managed;,CIB,Banking,GCM ex FRisk,Transportation Finance,Transportation Finance,Globally Managed
CIB,;L0CIB;L1Banking;L2M&A;L3M&A;L4SPC M&A CRE;L5Globally Managed;,CIB,Banking,M&A,M&A,SPC M&A CRE,Globally Managed
CIB,;L0CIB;L1Banking;L2M&A;L3M&A;L4SPC M&A Clean Technology;L5Globally Managed;,CIB,Banking,M&A,M&A,SPC M&A Clean Technology,Globally Managed
CIB,;L0CIB;L1Banking;L2M&A;L3M&A;L4SPC M&A GIG Management;L5Globally Managed;,CIB,Banking,M&A,M&A,SPC M&A GIG Management,Globally Managed
CIB,;L0CIB;L1Banking;L2M&A;L3M&A;L4SPC M&A GIG Pool;L5Globally Managed;,CIB,Banking,M&A,M&A,SPC M&A GIG Pool,Globally Managed
CIB,;L0CIB;L1Banking;L2M&A;L3M&A;L4SPC M&A M&A Advisory;L5Globally Managed;,CIB,Banking,M&A,M&A,SPC M&A M&A Advisory,Globally Managed
CIB,;L0CIB;L1Banking;L2M&A;L3M&A;L4SPC M&A Metals and Mining;L5Globally Managed;,CIB,Banking,M&A,M&A,SPC M&A Metals and Mining,Globally Managed
CIB,;L0CIB;L1Banking;L2M&A;L3M&A;L4SPC M&A Oil and Gas and Chemicals;L5Globally Managed;,CIB,Banking,M&A,M&A,SPC M&A Oil and Gas and Chemicals,Globally Managed
CIB,;L0CIB;L1Banking;L2M&A;L3M&A;L4SPC M&A Power Utilities & Infrastructure (PUI);L5Globally Managed;,CIB,Banking,M&A,M&A,SPC M&A Power Utilities & Infrastructure (PUI),Globally Managed
CIB,;L0CIB;L1Banking;L2M&A;L3M&A;L4SPC M&A Real Assets;L5Globally Managed;,CIB,Banking,M&A,M&A,SPC M&A Real Assets,Globally Managed
CIB,;L0CIB;L1Banking;L2M&A;L3M&A;L4SPC M&A Technology;L5Globally Managed;,CIB,Banking,M&A,M&A,SPC M&A Technology,Globally Managed
CIB,;L0CIB;L1Banking;L2S&FR;L3Syndicate & Frisk;L4SPC SFR LS Credit Insurance;L5Globally Managed;,CIB,Banking,S&FR,Syndicate & Frisk,SPC SFR LS Credit Insurance,Globally Managed
CIB,;L0CIB;L1Banking;L2S&FR;L3Syndicate & Frisk;L4SPC SFR LS Syndicate & Distribution;L5Globally Managed;,CIB,Banking,S&FR,Syndicate & Frisk,SPC SFR LS Syndicate & Distribution,Globally Managed
CIB,;L0CIB;L1CPM;L2CFD;L3CFD;L4SPC CIB CFD Markets;L5Globally Managed;,CIB,CPM,CFD,CFD,SPC CIB CFD Markets,Globally Managed
CIB,;L0CIB;L1CPM;L2CPM;L3CPM;L4SPC CIB Mgt Credit & Portfolio Mgt_1;L5Globally Managed;,CIB,CPM,CPM,CPM,SPC CIB Mgt Credit & Portfolio Mgt_1,Globally Managed
CIB,;L0CIB;L1CPM;L2CPM;L3CPM;L4SPC CIB Modelling;L5Globally Managed;,CIB,CPM,CPM,CPM,SPC CIB Modelling,Globally Managed
CIB,;L0CIB;L1CPM;L2Liabilities;L3LBSM;L4SPC TB Liquidity & BSM Front Office;L5Globally Managed;,CIB,CPM,Liabilities,LBSM,SPC TB Liquidity & BSM Front Office,Globally Managed
CIB,;L0CIB;L1CPM;L2Liabilities;L3Liabilities Others;L4SPC CIB Liabilities;L5Globally Managed;,CIB,CPM,Liabilities,Liabilities Others,SPC CIB Liabilities,Globally Managed
CIB,;L0CIB;L1CPM;L2SAG;L3SAG;L4SPC CIB Mgt CPM Stressed Asset Group;L5Globally Managed;,CIB,CPM,SAG,SAG,SPC CIB Mgt CPM Stressed Asset Group,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2Corporate;L3Corporate CA;L4SPC CIB Corporate CA;L5Globally Managed;,CIB,Client Coverage,Corporate,Corporate CA,SPC CIB Corporate CA,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2Corporate;L3Corporate GS;L4SPC CIB Corporate Global Subsidiaries;L5Globally Managed;,CIB,Client Coverage,Corporate,Corporate GS,SPC CIB Corporate Global Subsidiaries,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2Corporate;L3Corporate IG;L4SPC CIB Corporate IG;L5Globally Managed;,CIB,Client Coverage,Corporate,Corporate IG,SPC CIB Corporate IG,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2Corporate;L3Corporate Projects;L4SPC CIB Corporate Coverage Projects;L5Globally Managed;,CIB,Client Coverage,Corporate,Corporate Projects,SPC CIB Corporate Coverage Projects,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2Corporate;L3Corporate Sustainable Finance;L4SPC CIB Corporate Sustainable Finance;L5Globally Managed;,CIB,Client Coverage,Corporate,Corporate Sustainable Finance,SPC CIB Corporate Sustainable Finance,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2Corporate;L3Coverage Management;L4SPC CIB Corporate Coverage Management;L5Globally Managed;,CIB,Client Coverage,Corporate,Coverage Management,SPC CIB Corporate Coverage Management,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2Corporate;L3International Corporates;L4SPC CIB International Corporates;L5Globally Managed;,CIB,Client Coverage,Corporate,International Corporates,SPC CIB International Corporates,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2Corporate;L3Local Corporates & Middle Markets;L4SPC CIB Local Corporates & Middle Markets;L5Globally Managed;,CIB,Client Coverage,Corporate,Local Corporates & Middle Markets,SPC CIB Local Corporates & Middle Markets,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2FI;L3FI BBD;L4SPC CIB FI BBD;L5Globally Managed;,CIB,Client Coverage,FI,FI BBD,SPC CIB FI BBD,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2FI;L3FI CA;L4SPC CIB FI CA;L5Globally Managed;,CIB,Client Coverage,FI,FI CA,SPC CIB FI CA,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2FI;L3FI IG;L4SPC CIB FI IG;L5Globally Managed;,CIB,Client Coverage,FI,FI IG,SPC CIB FI IG,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2FI;L3FI Investors;L4SPC CIB FI Investors;L5Globally Managed;,CIB,Client Coverage,FI,FI Investors,SPC CIB FI Investors,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2FI;L3FI Mgmt;L4SPC CIB FI Mgmt;L5Globally Managed;,CIB,Client Coverage,FI,FI Mgmt,SPC CIB FI Mgmt,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2FI;L3FI Public Sector;L4SPC CIB FI Public Sector;L5Globally Managed;,CIB,Client Coverage,FI,FI Public Sector,SPC CIB FI Public Sector,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2SAS;L3CSRA;L4SPC CIB CSRA;L5Globally Managed;,CIB,Client Coverage,SAS,CSRA,SPC CIB CSRA,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2SAS;L3ESG Advisory;L4SPC CIB ESG Advisory;L5Globally Managed;,CIB,Client Coverage,SAS,ESG Advisory,SPC CIB ESG Advisory,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2SAS;L3ISB;L4SPC CIB Islamic Saadiq Banking;L5Globally Managed;,CIB,Client Coverage,SAS,ISB,SPC CIB Islamic Saadiq Banking,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2SAS;L3RMBI;L4SPC CIB RMBI;L5Globally Managed;,CIB,Client Coverage,SAS,RMBI,SPC CIB RMBI,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2SAS;L3SAS Mgmt;L4SPC CIB SAS Mgmt;L5Globally Managed;,CIB,Client Coverage,SAS,SAS Mgmt,SPC CIB SAS Mgmt,Globally Managed
CIB,;L0CIB;L1Client Coverage;L2SAS;L3Transition Finance;L4SPC CIB Transition Finance;L5Globally Managed;,CIB,Client Coverage,SAS,Transition Finance,SPC CIB Transition Finance,Globally Managed
CIB,;L0CIB;L1Management;L2CA Hub;L3CA;L4SPC CIB CA;L5Globally Managed;,CIB,Management,CA Hub,CA,SPC CIB CA,Globally Managed
CIB,;L0CIB;L1Management;L2CA Hub;L3CRA;L4SPC CIB CRA;L5Globally Managed;,CIB,Management,CA Hub,CRA,SPC CIB CRA,Globally Managed
CIB,;L0CIB;L1Management;L2CoS;L3CoS;L4SPC CIB CoS;L5Globally Managed;,CIB,Management,CoS,CoS,SPC CIB CoS,Globally Managed
CIB,;L0CIB;L1Management;L2Conduct;L3Conduct;L4SPC CIB Mgt Conduct;L5Globally Managed;,CIB,Management,Conduct,Conduct,SPC CIB Mgt Conduct,Globally Managed
CIB,;L0CIB;L1Management;L2Geo CEO;L3CEO EA;L4SPC CIB CEO EA;L5Globally Managed;,CIB,Management,Geo CEO,CEO EA,SPC CIB CEO EA,Globally Managed
CIB,;L0CIB;L1Management;L2Geo CEO;L3Geo CEO Others;L4SPC CIB Geo CEO Other Costs;L5Globally Managed;,CIB,Management,Geo CEO,Geo CEO Others,SPC CIB Geo CEO Other Costs,Globally Managed
CIB,;L0CIB;L1Management;L2Geo CEO;L3Geo CEO Others;L4SPC CIB Geo CIB CEO;L5Globally Managed;,CIB,Management,Geo CEO,Geo CEO Others,SPC CIB Geo CIB CEO,Globally Managed
CIB,;L0CIB;L1Management;L2Geo CEO;L3Mgmt CEO;L4SPC CIB Mgt CEO;L5Globally Managed;,CIB,Management,Geo CEO,Mgmt CEO,SPC CIB Mgt CEO,Globally Managed
CIB,;L0CIB;L1Management;L2Mgmt - Others;L3SPC CIB Central COO - Recharge;L4SPC CIB Central COO - Recharge;L5Globally Managed;,CIB,Management,Mgmt - Others,SPC CIB Central COO - Recharge,SPC CIB Central COO - Recharge,Globally Managed
CIB,;L0CIB;L1Management;L2Platform & Partnership ;L3Digital Assets COE;L4SPC CIB Digital Assets COE;L5Globally Managed;,CIB,Management,Platform & Partnership ,Digital Assets COE,SPC CIB Digital Assets COE,Globally Managed
CIB,;L0CIB;L1Management;L2Platform & Partnership ;L3Partnerships;L4SPC CIB Partnerships;L5Globally Managed;,CIB,Management,Platform & Partnership ,Partnerships,SPC CIB Partnerships,Globally Managed
CIB,;L0CIB;L1Management;L2Platform & Partnership ;L3Platform;L4SPC CIB Platforms;L5Globally Managed;,CIB,Management,Platform & Partnership ,Platform,SPC CIB Platforms,Globally Managed
CIB,;L0CIB;L1Markets;L2Market trading;L3Credit Trading;L4Credit Solutions;L5Globally Managed;,CIB,Markets,Market trading,Credit Trading,Credit Solutions,Globally Managed
CIB,;L0CIB;L1Markets;L2Market trading;L3Credit Trading;L4SPC Markets Credit Flow;L5Globally Managed;,CIB,Markets,Market trading,Credit Trading,SPC Markets Credit Flow,Globally Managed
CIB,;L0CIB;L1Markets;L2Market trading;L3Credit Trading;L4SPC Markets Repos & Collateral;L5Globally Managed;,CIB,Markets,Market trading,Credit Trading,SPC Markets Repos & Collateral,Globally Managed
CIB,;L0CIB;L1Markets;L2Market trading;L3Macro Trading;L4SPC Markets Commodities;L5Globally Managed;,CIB,Markets,Market trading,Macro Trading,SPC Markets Commodities,Globally Managed
CIB,;L0CIB;L1Markets;L2Market trading;L3Macro Trading;L4SPC Markets FX Cash Total;L5Globally Managed;,CIB,Markets,Market trading,Macro Trading,SPC Markets FX Cash Total,Globally Managed
CIB,;L0CIB;L1Markets;L2Market trading;L3Macro Trading;L4SPC Markets G10 Rates Total;L5Globally Managed;,CIB,Markets,Market trading,Macro Trading,SPC Markets G10 Rates Total,Globally Managed
CIB,;L0CIB;L1Markets;L2Market trading;L3Macro Trading;L4SPC Markets GFX;L5Globally Managed;,CIB,Markets,Market trading,Macro Trading,SPC Markets GFX,Globally Managed
CIB,;L0CIB;L1Markets;L2Market trading;L3Macro Trading;L4SPC Markets Macro Trading;L5Globally Managed;,CIB,Markets,Market trading,Macro Trading,SPC Markets Macro Trading,Globally Managed
CIB,;L0CIB;L1Markets;L2Market trading;L3Macro Trading;L4SPC Markets Rates Total;L5Globally Managed;,CIB,Markets,Market trading,Macro Trading,SPC Markets Rates Total,Globally Managed
CIB,;L0CIB;L1Markets;L2Market trading;L3Macro Trading;L4SPC Markets eCommerce;L5Globally Managed;,CIB,Markets,Market trading,Macro Trading,SPC Markets eCommerce,Globally Managed
CIB,;L0CIB;L1Markets;L2Market trading;L3XVA;L4SPC Markets XVA;L5Globally Managed;,CIB,Markets,Market trading,XVA,SPC Markets XVA,Globally Managed
CIB,;L0CIB;L1Markets;L2Platform & MAG ;L3MAG;L4SPC Markets MAG Core;L5Globally Managed;,CIB,Markets,Platform & MAG ,MAG,SPC Markets MAG Core,Globally Managed
CIB,;L0CIB;L1Markets;L2Platform & MAG ;L3Platform;L4SPC Markets Trade Lifecycle Design;L5Globally Managed;,CIB,Markets,Platform & MAG ,Platform,SPC Markets Trade Lifecycle Design,Globally Managed
CIB,;L0CIB;L1Markets;L2Regions & Others;L3Market Others;L4SPC CIB Markets COO - Recharge;L5Globally Managed;,CIB,Markets,Regions & Others,Market Others,SPC CIB Markets COO - Recharge,Globally Managed
CIB,;L0CIB;L1Markets;L2Regions & Others;L3Market Others;L4SPC Markets Group Projects;L5Globally Managed;,CIB,Markets,Regions & Others,Market Others,SPC Markets Group Projects,Globally Managed
CIB,;L0CIB;L1Markets;L2Regions & Others;L3Market Others;L4SPC Markets Oth Global Biz Recharge Markets Others;L5Globally Managed;,CIB,Markets,Regions & Others,Market Others,SPC Markets Oth Global Biz Recharge Markets Others,Globally Managed
CIB,;L0CIB;L1Markets;L2Regions & Others;L3Regions;L4SPC Markets Regions;L5Globally Managed;,CIB,Markets,Regions & Others,Regions,SPC Markets Regions,Globally Managed
CIB,;L0CIB;L1Markets;L2Research;L3Global Research;L4SPC Markets GR Economics Research;L5Globally Managed;,CIB,Markets,Research,Global Research,SPC Markets GR Economics Research,Globally Managed
CIB,;L0CIB;L1Markets;L2Research;L3Global Research;L4SPC Markets GR FX Rates and credit Research;L5Globally Managed;,CIB,Markets,Research,Global Research,SPC Markets GR FX Rates and credit Research,Globally Managed
CIB,;L0CIB;L1Markets;L2Research;L3Global Research;L4SPC Markets GR Research Support;L5Globally Managed;,CIB,Markets,Research,Global Research,SPC Markets GR Research Support,Globally Managed
CIB,;L0CIB;L1Markets;L2SCSL;L3SCSL;L4SPC Markets SCSCL;L5Globally Managed;,CIB,Markets,SCSL,SCSL,SPC Markets SCSCL,Globally Managed
CIB,;L0CIB;L1Markets;L2Sales & Structuring;L3Sales;L4SPC FM Sales Bankers Brokers & Dealers;L5Globally Managed;,CIB,Markets,Sales & Structuring,Sales,SPC FM Sales Bankers Brokers & Dealers,Globally Managed
CIB,;L0CIB;L1Markets;L2Sales & Structuring;L3Sales;L4SPC FM Sales Corporates;L5Globally Managed;,CIB,Markets,Sales & Structuring,Sales,SPC FM Sales Corporates,Globally Managed
CIB,;L0CIB;L1Markets;L2Sales & Structuring;L3Sales;L4SPC FM Sales Head;L5Globally Managed;,CIB,Markets,Sales & Structuring,Sales,SPC FM Sales Head,Globally Managed
CIB,;L0CIB;L1Markets;L2Sales & Structuring;L3Sales;L4SPC FM Sales Investors;L5Globally Managed;,CIB,Markets,Sales & Structuring,Sales,SPC FM Sales Investors,Globally Managed
CIB,;L0CIB;L1Markets;L2Sales & Structuring;L3Structuring;L4SPC Markets Commodity Structuring;L5Globally Managed;,CIB,Markets,Sales & Structuring,Structuring,SPC Markets Commodity Structuring,Globally Managed
CIB,;L0CIB;L1Markets;L2Sales & Structuring;L3Structuring;L4SPC Markets Oth Global Biz Recharge Structuring;L5Globally Managed;,CIB,Markets,Sales & Structuring,Structuring,SPC Markets Oth Global Biz Recharge Structuring,Globally Managed
CIB,;L0CIB;L1Markets;L2Sales & Structuring;L3Structuring;L4SPC Markets Structuring Credit;L5Globally Managed;,CIB,Markets,Sales & Structuring,Structuring,SPC Markets Structuring Credit,Globally Managed
CIB,;L0CIB;L1Markets;L2Sales & Structuring;L3Structuring;L4SPC Markets Structuring FX;L5Globally Managed;,CIB,Markets,Sales & Structuring,Structuring,SPC Markets Structuring FX,Globally Managed
CIB,;L0CIB;L1Markets;L2Sales & Structuring;L3Structuring;L4SPC Markets Structuring Head;L5Globally Managed;,CIB,Markets,Sales & Structuring,Structuring,SPC Markets Structuring Head,Globally Managed
CIB,;L0CIB;L1Markets;L2Sales & Structuring;L3Structuring;L4SPC Markets Structuring Rates;L5Globally Managed;,CIB,Markets,Sales & Structuring,Structuring,SPC Markets Structuring Rates,Globally Managed
CIB,;L0CIB;L1Markets;L2Sales & Structuring;L3Structuring;L4SPC Markets Structuring Sol Delivery;L5Globally Managed;,CIB,Markets,Sales & Structuring,Structuring,SPC Markets Structuring Sol Delivery,Globally Managed
CIB,;L0CIB;L1PF;L2PF;L3PF;L4SPC CIB Principal Finance;L5Globally Managed;,CIB,PF,PF,PF,SPC CIB Principal Finance,Globally Managed
CIB,;L0CIB;L1Transaction services;L2FSS;L3FSS Business Account Manager;L4SPC TS SS Bus Ac Mgt Intermediaries;L5Globally Managed;,CIB,Transaction services,FSS,FSS Business Account Manager,SPC TS SS Bus Ac Mgt Intermediaries,Globally Managed
CIB,;L0CIB;L1Transaction services;L2FSS;L3FSS Business Account Manager;L4SPC TS SS Bus Ac Mgt Investors;L5Globally Managed;,CIB,Transaction services,FSS,FSS Business Account Manager,SPC TS SS Bus Ac Mgt Investors,Globally Managed
CIB,;L0CIB;L1Transaction services;L2FSS;L3FSS Business Account Manager;L4SPC TS SS Bus Ac Mgt Other;L5Globally Managed;,CIB,Transaction services,FSS,FSS Business Account Manager,SPC TS SS Bus Ac Mgt Other,Globally Managed
CIB,;L0CIB;L1Transaction services;L2FSS;L3FSS Others;L4SPC TS Oth Global Biz Recharge Financing&SecuritiesServices;L5Globally Managed;,CIB,Transaction services,FSS,FSS Others,SPC TS Oth Global Biz Recharge Financing&SecuritiesServices,Globally Managed
CIB,;L0CIB;L1Transaction services;L2FSS;L3FSS Others;L4SPC TS SS Business Mgmt;L5Globally Managed;,CIB,Transaction services,FSS,FSS Others,SPC TS SS Business Mgmt,Globally Managed
CIB,;L0CIB;L1Transaction services;L2FSS;L3FSS Others;L4SPC TS SS Implementation;L5Globally Managed;,CIB,Transaction services,FSS,FSS Others,SPC TS SS Implementation,Globally Managed
CIB,;L0CIB;L1Transaction services;L2FSS;L3FSS Prime Services;L4SPC TS Prime Services;L5Globally Managed;,CIB,Transaction services,FSS,FSS Prime Services,SPC TS Prime Services,Globally Managed
CIB,;L0CIB;L1Transaction services;L2FSS;L3FSS Product;L4SPC TS FSS C&F Prod - Custody & Clearing;L5Globally Managed;,CIB,Transaction services,FSS,FSS Product,SPC TS FSS C&F Prod - Custody & Clearing,Globally Managed
CIB,;L0CIB;L1Transaction services;L2FSS;L3FSS Product;L4SPC TS FSS C&F Prod - Mgmt & Others;L5Globally Managed;,CIB,Transaction services,FSS,FSS Product,SPC TS FSS C&F Prod - Mgmt & Others,Globally Managed
CIB,;L0CIB;L1Transaction services;L2FSS;L3FSS Product;L4SPC TS FSSC&F Prod - Fiduciary & Fund;L5Globally Managed;,CIB,Transaction services,FSS,FSS Product,SPC TS FSSC&F Prod - Fiduciary & Fund,Globally Managed
CIB,;L0CIB;L1Transaction services;L2FSS;L3FSS Projects;L4SPC Projects Financing and Securities Services;L5Globally Managed;,CIB,Transaction services,FSS,FSS Projects,SPC Projects Financing and Securities Services,Globally Managed
CIB,;L0CIB;L1Transaction services;L2FSS;L3FSS Sales;L4SPC TS FSS Sales BBD;L5Globally Managed;,CIB,Transaction services,FSS,FSS Sales,SPC TS FSS Sales BBD,Globally Managed
CIB,;L0CIB;L1Transaction services;L2FSS;L3FSS Sales;L4SPC TS FSS Sales Investors;L5Globally Managed;,CIB,Transaction services,FSS,FSS Sales,SPC TS FSS Sales Investors,Globally Managed
CIB,;L0CIB;L1Transaction services;L2FSS;L3FSS Sales;L4SPC TS FSS Sales Other;L5Globally Managed;,CIB,Transaction services,FSS,FSS Sales,SPC TS FSS Sales Other,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB Cash;L4SPC TB Cash Business Management;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB Cash,SPC TB Cash Business Management,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB Cash;L4SPC TB Cash Product Development;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB Cash,SPC TB Cash Product Development,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB Cash;L4SPC TB Cash Projects Development;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB Cash,SPC TB Cash Projects Development,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB Central;L4SPC TB Centre - Others;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB Central,SPC TB Centre - Others,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB Central;L4SPC TB Management;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB Central,SPC TB Management,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB Corp Sales;L4SPC TB Corp Sales;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB Corp Sales,SPC TB Corp Sales,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB Data;L4SPC TB Data;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB Data,SPC TB Data,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB Digital;L4SPC TB Digital Mgmt BAU;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB Digital,SPC TB Digital Mgmt BAU,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB Digital;L4SPC TB Digital Mgmt Projects;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB Digital,SPC TB Digital Mgmt Projects,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB FI Client Service;L4SPC TB FI Client Service;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB FI Client Service,SPC TB FI Client Service,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB FI Sales;L4SPC TB FI Sales;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB FI Sales,SPC TB FI Sales,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB Implementation;L4SPC CIB TB Implementation;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB Implementation,SPC CIB TB Implementation,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB Trade;L4SPC TB Trade Business Mgmt;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB Trade,SPC TB Trade Business Mgmt,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB Trade;L4SPC TB Trade Distribution (TD);L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB Trade,SPC TB Trade Distribution (TD),Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB Trade;L4SPC TB Trade Product Development;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB Trade,SPC TB Trade Product Development,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB Trade;L4SPC TB Trade Product Documentary Trade;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB Trade,SPC TB Trade Product Documentary Trade,Globally Managed
CIB,;L0CIB;L1Transaction services;L2Transaction Banking;L3TB Trade;L4SPC TB Trade Projects Development;L5Globally Managed;,CIB,Transaction services,Transaction Banking,TB Trade,SPC TB Trade Projects Development,Globally Managed
CIB,;L0None;L1None;L2None;L3None;L4None;L5None;,None,None,None,None,None,None
FPNA,;L0BSC Others;L1BSC Others;L2BSC Others;L3BSC Others;L4Biz BSC Oth Global Biz Rech - CIB;L5Biz BSC Oth Global Biz Rech - CIB;,BSC Others,BSC Others,BSC Others,BSC Others,Biz BSC Oth Global Biz Rech - CIB,Biz BSC Oth Global Biz Rech - CIB
FPNA,;L0BSC Others;L1BSC Others;L2BSC Others;L3BSC Others;L4Biz BSC Oth Global Biz Rech - PvB;L5Biz BSC Oth Global Biz Rech - PvB;,BSC Others,BSC Others,BSC Others,BSC Others,Biz BSC Oth Global Biz Rech - PvB,Biz BSC Oth Global Biz Rech - PvB
