ACCOUNT,ACCOUNT (L0),ACCOUNT (L1),ACCOUNT (L2),ACCOUNT (L3),ACCOUNT (L4),ACCOUNT (L5),ACCOUNT_CRD_INDICATOR,ACCOUNT_PK
Affluent Prods COB Branch Ops,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods COB Branch Ops,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods COB Branch Ops;
Affluent Prods COB CDD Ops,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods COB CDD Ops,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods COB CDD Ops;
Affluent Prods COB CDD Ops,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods COB CDD Ops,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods COB CDD Ops;
Affluent Prods COB CDD Rem,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods COB CDD Rem,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods COB CDD Rem;
Affluent Prods COB CDD Rem,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods COB CDD Rem,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods COB CDD Rem;
Affluent Prods COB Liab Ops,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Liabilities,Affluent Prods COB Liab Ops,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Liabilities;L5Affluent Prods COB Liab Ops;
Affluent Prods COB Liab Ops,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Liabilities,Affluent Prods COB Liab Ops,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Liabilities;L5Affluent Prods COB Liab Ops;
Affluent Prods COB Mortg and Auto Ops,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Mortg & Auto,Affluent Prods COB Mortg and Auto Ops,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Mortg & Auto;L5Affluent Prods COB Mortg and Auto Ops;
Affluent Prods COB Mortg and Auto Ops,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Mortg & Auto,Affluent Prods COB Mortg and Auto Ops,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Mortg & Auto;L5Affluent Prods COB Mortg and Auto Ops;
Affluent Prods COO Retail Central,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods COO Retail Central,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods COO Retail Central;
Affluent Prods COO Retail Central,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods COO Retail Central,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods COO Retail Central;
Affluent Prods Group Projects,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Group Projects,Affluent Prods Group Projects,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Group Projects;L5Affluent Prods Group Projects;
Affluent Prods Group Projects,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Group Projects,Affluent Prods Group Projects,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Group Projects;L5Affluent Prods Group Projects;
Affluent Prods Liabilities,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Liabilities,Affluent Prods Liabilities,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Liabilities;L5Affluent Prods Liabilities;
Affluent Prods Liabilities,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Liabilities,Affluent Prods Liabilities,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Liabilities;L5Affluent Prods Liabilities;
Affluent Prods Liabilities Clearing,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Liabilities,Affluent Prods Liabilities Clearing,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Liabilities;L5Affluent Prods Liabilities Clearing;
Affluent Prods Liabilities Clearing,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Liabilities,Affluent Prods Liabilities Clearing,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Liabilities;L5Affluent Prods Liabilities Clearing;
Affluent Prods Mortgage & Auto,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Mortg & Auto,Affluent Prods Mortgage & Auto,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Mortg & Auto;L5Affluent Prods Mortgage & Auto;
Affluent Prods Mortgage & Auto,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Mortg & Auto,Affluent Prods Mortgage & Auto,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Mortg & Auto;L5Affluent Prods Mortgage & Auto;
"Affluent Prods Mtg, Liab & Seg",Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,"Affluent Prods Mtg, Liab & Seg",WRB,";L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods Mtg, Liab & Seg;"
"Affluent Prods Mtg, Liab & Seg",Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,"Affluent Prods Mtg, Liab & Seg",WRB,";L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods Mtg, Liab & Seg;"
Affluent Prods OPS Projects,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods OPS Projects,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods OPS Projects;
Affluent Prods OPS Projects,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods OPS Projects,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods OPS Projects;
Affluent Prods Ops Assurance,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods Ops Assurance,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods Ops Assurance;
Affluent Prods Ops Assurance,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods Ops Assurance,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods Ops Assurance;
Affluent Prods Ops Risk Init&Apprvl,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods Ops Risk Init&Apprvl,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods Ops Risk Init&Apprvl;
Affluent Prods Ops Risk Init&Apprvl,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods Ops Risk Init&Apprvl,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods Ops Risk Init&Apprvl;
Affluent Prods Ops Rsk Frad Rsk Mgmt,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods Ops Rsk Frad Rsk Mgmt,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods Ops Rsk Frad Rsk Mgmt;
Affluent Prods Ops Rsk Frad Rsk Mgmt,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods Ops Rsk Frad Rsk Mgmt,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods Ops Rsk Frad Rsk Mgmt;
Affluent Prods Small Projects,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Small Projects,Affluent Prods Small Projects,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Small Projects;L5Affluent Prods Small Projects;
Affluent Prods Small Projects,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Small Projects,Affluent Prods Small Projects,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Small Projects;L5Affluent Prods Small Projects;
Affluent Prods SnT - Cent Cash Mmgt,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Liabilities,Affluent Prods SnT - Cent Cash Mmgt,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Liabilities;L5Affluent Prods SnT - Cent Cash Mmgt;
Affluent Prods SnT - Cent Cash Mmgt,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Liabilities,Affluent Prods SnT - Cent Cash Mmgt,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Liabilities;L5Affluent Prods SnT - Cent Cash Mmgt;
Affluent Prods SnT Branch Ops,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods SnT Branch Ops,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods SnT Branch Ops;
Affluent Prods SnT Branch Ops,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Ops Mgt,Affluent Prods SnT Branch Ops,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Ops Mgt;L5Affluent Prods SnT Branch Ops;
Affluent Prods SnT Liabilities Ops,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Liabilities,Affluent Prods SnT Liabilities Ops,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Liabilities;L5Affluent Prods SnT Liabilities Ops;
Affluent Prods SnT Liabilities Ops,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Liabilities,Affluent Prods SnT Liabilities Ops,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Liabilities;L5Affluent Prods SnT Liabilities Ops;
Affluent Prods SnT Mortg and Auto Ops,Total Cost,Intra WRB,Affluent Managed,Affluent Banking Products Managed,Affluent Products Mortg & Auto,Affluent Prods SnT Mortg and Auto Ops,WRB,;L0Total Cost;L1Intra WRB;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Mortg & Auto;L5Affluent Prods SnT Mortg and Auto Ops;
Affluent Prods SnT Mortg and Auto Ops,Total Cost,Service Charge,Affluent Managed,Affluent Banking Products Managed,Affluent Products Mortg & Auto,Affluent Prods SnT Mortg and Auto Ops,WRB,;L0Total Cost;L1Service Charge;L2Affluent Managed;L3Affluent Banking Products Managed;L4Affluent Products Mortg & Auto;L5Affluent Prods SnT Mortg and Auto Ops;
Allocation - CIB,Total Cost,Service Charge,Allocation - CIB,Allocation - CIB,Allocation - CIB,Allocation - CIB,WRB,;L0Total Cost;L1Service Charge;L2Allocation - CIB;L3Allocation - CIB;L4Allocation - CIB;L5Allocation - CIB;
Allocation - WRB,Total Cost,Service Charge,Allocation - WRB,Allocation - WRB,Allocation - WRB,Allocation - WRB,CIB,;L0Total Cost;L1Service Charge;L2Allocation - WRB;L3Allocation - WRB;L4Allocation - WRB;L5Allocation - WRB;
Allowance,Total Cost,Directly Controllable Costs,Staff Costs exc Bonus,Salaries & Allowances,Salaries & Allowances,Allowance,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Staff Costs exc Bonus;L3Salaries & Allowances;L4Salaries & Allowances;L5Allowance;
Allowances,Total Cost,Incurred Cost,Controllable Cost,Staff Costs exc Bonus,Allowances,Allowances,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Staff Costs exc Bonus;L4Allowances;L5Allowances;
Allowances,Total Cost,Incurred Cost,Direct Manageable Costs,Staff ex Bonus & Comm,Allowances,Allowances,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Staff ex Bonus & Comm;L4Allowances;L5Allowances;
Amor FFG,Total Cost,Incurred Cost,Other Recharges,Amor FFG,Amor FFG,Amor FFG,WRB,;L0Total Cost;L1Incurred Cost;L2Other Recharges;L3Amor FFG;L4Amor FFG;L5Amor FFG;
Amort BAU,Total Cost,Incurred Cost,Other Recharges,Amort BAU,Amort BAU,Amort BAU,WRB,;L0Total Cost;L1Incurred Cost;L2Other Recharges;L3Amort BAU;L4Amort BAU;L5Amort BAU;
Amortisation,Total Cost,Incurred Cost,Investments,Investments,Amortisation,Amortisation,WRB,;L0Total Cost;L1Incurred Cost;L2Investments;L3Investments;L4Amortisation;L5Amortisation;
Assets FTP %,Assets FTP %,Assets FTP %,Assets FTP %,Assets FTP %,Assets FTP %,Assets FTP %,FPNA,;L0Assets FTP %;L1Assets FTP %;L2Assets FTP %;L3Assets FTP %;L4Assets FTP %;L5Assets FTP %;
Assets FTP %,Assets FTP %,Assets FTP %,Assets FTP %,Assets FTP %,Assets FTP %,Assets FTP %,WRB,;L0Assets FTP %;L1Assets FTP %;L2Assets FTP %;L3Assets FTP %;L4Assets FTP %;L5Assets FTP %;
Assets GIM %,Assets GIM %,Assets GIM %,Assets GIM %,Assets GIM %,Assets GIM %,Assets GIM %,FPNA,;L0Assets GIM %;L1Assets GIM %;L2Assets GIM %;L3Assets GIM %;L4Assets GIM %;L5Assets GIM %;
Assets GIM %,Assets GIM %,Assets GIM %,Assets GIM %,Assets GIM %,Assets GIM %,Assets GIM %,WRB,;L0Assets GIM %;L1Assets GIM %;L2Assets GIM %;L3Assets GIM %;L4Assets GIM %;L5Assets GIM %;
Assets NIM %,Assets NIM %,Assets NIM %,Assets NIM %,Assets NIM %,Assets NIM %,Assets NIM %,FPNA,;L0Assets NIM %;L1Assets NIM %;L2Assets NIM %;L3Assets NIM %;L4Assets NIM %;L5Assets NIM %;
Assets NIM %,Assets NIM %,Assets NIM %,Assets NIM %,Assets NIM %,Assets NIM %,Assets NIM %,WRB,;L0Assets NIM %;L1Assets NIM %;L2Assets NIM %;L3Assets NIM %;L4Assets NIM %;L5Assets NIM %;
Assigned Capital,Capital,Assigned Capital,Assigned Capital,Assigned Capital,Assigned Capital,Assigned Capital,FPNA,;L0Capital;L1Assigned Capital;L2Assigned Capital;L3Assigned Capital;L4Assigned Capital;L5Assigned Capital;
Associates & Joint Ventures Profit Share,Associates & Joint Ventures Profit Share,Associates & Joint Ventures Profit Share,Associates & Joint Ventures Profit Share,Associates & Joint Ventures Profit Share,Associates & Joint Ventures Profit Share,Associates & Joint Ventures Profit Share,FPNA,;L0Associates & Joint Ventures Profit Share;L1Associates & Joint Ventures Profit Share;L2Associates & Joint Ventures Profit Share;L3Associates & Joint Ventures Profit Share;L4Associates & Joint Ventures Profit Share;L5Associates & Joint Ventures Profit Share;
Audit Fees,Total Cost,Directly Controllable Costs,Non Staff Costs,Legal & Professional Fees,Legal & Professional Fees,Audit Fees,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Legal & Professional Fees;L4Legal & Professional Fees;L5Audit Fees;
Audit Fees,Total Cost,Incurred Cost,Controllable Cost,Legal & Professional Fees,Audit Fees,Audit Fees,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Legal & Professional Fees;L4Audit Fees;L5Audit Fees;
Audit Fees,Total Cost,Incurred Cost,Direct Manageable Costs,Legal & Professional Fees,Audit Fees,Audit Fees,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Legal & Professional Fees;L4Audit Fees;L5Audit Fees;
Avg - Bank Deposits,Non-Group Liabilities Av,Avg Liabilities,Avg Liabilities,Avg - Bank Deposits,Avg - Bank Deposits,Avg - Bank Deposits,WRB,;L0Non-Group Liabilities Av;L1Avg Liabilities;L2Avg Liabilities;L3Avg - Bank Deposits;L4Avg - Bank Deposits;L5Avg - Bank Deposits;
Avg - Customer Deposits,Non-Group Liabilities Av,Avg Liabilities,Avg Liabilities,Avg - Customer Deposits,Avg - Customer Deposits,Avg - Customer Deposits,WRB,;L0Non-Group Liabilities Av;L1Avg Liabilities;L2Avg Liabilities;L3Avg - Customer Deposits;L4Avg - Customer Deposits;L5Avg - Customer Deposits;
Avg - Goodwill & Intangibles,Non-Group Assets Av,Avg Assets,Avg Assets,Avg - Goodwill & Intangibles,Avg - Goodwill & Intangibles,Avg - Goodwill & Intangibles,WRB,;L0Non-Group Assets Av;L1Avg Assets;L2Avg Assets;L3Avg - Goodwill & Intangibles;L4Avg - Goodwill & Intangibles;L5Avg - Goodwill & Intangibles;
Avg - Loans to Banks,Non-Group Assets Av,Avg Assets,Avg Assets,Avg - Loans to Banks,Avg - Loans to Banks,Avg - Loans to Banks,WRB,;L0Non-Group Assets Av;L1Avg Assets;L2Avg Assets;L3Avg - Loans to Banks;L4Avg - Loans to Banks;L5Avg - Loans to Banks;
Avg - Loans to Customers,Non-Group Assets Av,Avg Assets,Avg Assets,Avg - Loans to Customers,Avg - Loans to Customers,Avg - Loans to Customers,WRB,;L0Non-Group Assets Av;L1Avg Assets;L2Avg Assets;L3Avg - Loans to Customers;L4Avg - Loans to Customers;L5Avg - Loans to Customers;
Avg - Non-Grp Assets Other,Non-Group Assets Av,Avg Assets,Avg Assets,Avg - Non-Grp Assets Other,Avg - Non-Grp Assets Other,Avg - Non-Grp Assets Other,WRB,;L0Non-Group Assets Av;L1Avg Assets;L2Avg Assets;L3Avg - Non-Grp Assets Other;L4Avg - Non-Grp Assets Other;L5Avg - Non-Grp Assets Other;
Avg - Non-Grp Liabs Other,Non-Group Liabilities Av,Avg Liabilities,Avg Liabilities,Avg - Non-Grp Liabs Other,Avg - Non-Grp Liabs Other,Avg - Non-Grp Liabs Other,WRB,;L0Non-Group Liabilities Av;L1Avg Liabilities;L2Avg Liabilities;L3Avg - Non-Grp Liabs Other;L4Avg - Non-Grp Liabs Other;L5Avg - Non-Grp Liabs Other;
Avg Assets Cont,Non-Group Contingents Assets Av,Avg Assets Cont,Avg Assets Cont,Avg Assets Cont,Avg Assets Cont,Avg Assets Cont,WRB,;L0Non-Group Contingents Assets Av;L1Avg Assets Cont;L2Avg Assets Cont;L3Avg Assets Cont;L4Avg Assets Cont;L5Avg Assets Cont;
Avg CRWA Ex Enhanced F,Risk Weighted Assets Av,Avg CRWA,Avg CRWA Ex Enhanced F,Avg CRWA Ex Enhanced F,Avg CRWA Ex Enhanced F,Avg CRWA Ex Enhanced F,WRB,;L0Risk Weighted Assets Av;L1Avg CRWA;L2Avg CRWA Ex Enhanced F;L3Avg CRWA Ex Enhanced F;L4Avg CRWA Ex Enhanced F;L5Avg CRWA Ex Enhanced F;
Avg EAD,EAD Av,Avg EAD,Avg EAD,Avg EAD,Avg EAD,Avg EAD,WRB,;L0EAD Av;L1Avg EAD;L2Avg EAD;L3Avg EAD;L4Avg EAD;L5Avg EAD;
