PRODUCT (L0),PRODUCT (L1),PRODUCT (L2),PRODUCT (L3),PRODUCT (L4),PRODUCT_CRD_INDICATOR,PRODUCT_PK
Banking,Banking Others,Banking Input,Banking Input,Banking Input,FPNA,;L0Banking;L1Banking Others;L2Banking Input;L3Banking Input;L4Banking Input;
Banking,Capital Market & Advisory,Capital Markets,CM DCM,CM DCM - Inp,FPNA,;L0Banking;L1Capital Market & Advisory;L2Capital Markets;L3CM DCM;L4CM DCM - Inp;
Banking,Capital Market & Advisory,Capital Markets,CM DCM,CM DCM Bonds,FPNA,;L0Banking;L1Capital Market & Advisory;L2Capital Markets;L3CM DCM;L4CM DCM Bonds;
Banking,Capital Market & Advisory,Capital Markets,CM DCM,CM DCM Financial Inst,FPNA,;L0Banking;L1Capital Market & Advisory;L2Capital Markets;L3CM DCM;L4CM DCM Financial Inst;
Banking,Capital Market & Advisory,Capital Markets,CM DCM,CM DCM MTN,FPNA,;L0Banking;L1Capital Market & Advisory;L2Capital Markets;L3CM DCM;L4CM DCM MTN;
Banking,Capital Market & Advisory,Capital Markets,CM DCM,CM DCM Other Securities,FPNA,;L0Banking;L1Capital Market & Advisory;L2Capital Markets;L3CM DCM;L4CM DCM Other Securities;
Banking,Capital Market & Advisory,Capital Markets,Capital Markets - Inp,Capital Markets - Inp,FPNA,;L0Banking;L1Capital Market & Advisory;L2Capital Markets;L3Capital Markets - Inp;L4Capital Markets - Inp;
Banking,Capital Markets & Advisory,Advisory,Advisory Inp,Advisory Inp,CIB,;L0Banking;L1Capital Markets & Advisory;L2Advisory;L3Advisory Inp;L4Advisory Inp;
Banking,Capital Markets & Advisory,Advisory,Advisory Other,Advisory Inp,CIB,;L0Banking;L1Capital Markets & Advisory;L2Advisory;L3Advisory Other;L4Advisory Inp;
Banking,Capital Markets & Advisory,Advisory,ESG Advisory,ESG Advisory,CIB,;L0Banking;L1Capital Markets & Advisory;L2Advisory;L3ESG Advisory;L4ESG Advisory;
Banking,Capital Markets & Advisory,Advisory,M&A Advisory,"""Oil & Gas",CIB,";L0Banking;L1Capital Markets & Advisory;L2Advisory;L3M&A Advisory;L4""Oil & Gas;"
Banking,Capital Markets & Advisory,Advisory,M&A Advisory,Clean Tech & Environment,CIB,;L0Banking;L1Capital Markets & Advisory;L2Advisory;L3M&A Advisory;L4Clean Tech & Environment;
Banking,Capital Markets & Advisory,Advisory,M&A Advisory,Diversified Industries,CIB,;L0Banking;L1Capital Markets & Advisory;L2Advisory;L3M&A Advisory;L4Diversified Industries;
Banking,Capital Markets & Advisory,Advisory,M&A Advisory,Metals & Mining,CIB,;L0Banking;L1Capital Markets & Advisory;L2Advisory;L3M&A Advisory;L4Metals & Mining;
Banking,Capital Markets & Advisory,Capital Markets,CM CMS,CM CMS,CIB,;L0Banking;L1Capital Markets & Advisory;L2Capital Markets;L3CM CMS;L4CM CMS;
Banking,Capital Markets & Advisory,Capital Markets,CM CMS,CM CMS ABS Structured,CIB,;L0Banking;L1Capital Markets & Advisory;L2Capital Markets;L3CM CMS;L4CM CMS ABS Structured;
Banking,Capital Markets & Advisory,Capital Markets,CM DCM,Bond Syndicate,CIB,;L0Banking;L1Capital Markets & Advisory;L2Capital Markets;L3CM DCM;L4Bond Syndicate;
Banking,Capital Markets & Advisory,Capital Markets,CM DCM,CM DCM,CIB,;L0Banking;L1Capital Markets & Advisory;L2Capital Markets;L3CM DCM;L4CM DCM;
Banking,Capital Markets & Advisory,Capital Markets,CM DCM,CM DCM Bonds,CIB,;L0Banking;L1Capital Markets & Advisory;L2Capital Markets;L3CM DCM;L4CM DCM Bonds;
Banking,Capital Markets & Advisory,Capital Markets,CM DCM,CM DCM Financial Institution,CIB,;L0Banking;L1Capital Markets & Advisory;L2Capital Markets;L3CM DCM;L4CM DCM Financial Institution;
Banking,Capital Markets & Advisory,Capital Markets,CM DCM,CM DCM Input,CIB,;L0Banking;L1Capital Markets & Advisory;L2Capital Markets;L3CM DCM;L4CM DCM Input;
Banking,Capital Markets & Advisory,Capital Markets,CM DCM,CM DCM MTN,CIB,;L0Banking;L1Capital Markets & Advisory;L2Capital Markets;L3CM DCM;L4CM DCM MTN;
Banking,Capital Markets & Advisory,Capital Markets,CM DCM,CM DCM Other Securities,CIB,;L0Banking;L1Capital Markets & Advisory;L2Capital Markets;L3CM DCM;L4CM DCM Other Securities;
Banking,Capital Markets & Advisory,Capital Markets,Capital Markets Input,Capital Markets Input,CIB,;L0Banking;L1Capital Markets & Advisory;L2Capital Markets;L3Capital Markets Input;L4Capital Markets Input;
Banking,Capital Markets & Advisory,Capital Markets,FM Capital Markets - Inp,Capital Markets - Inp,CIB,;L0Banking;L1Capital Markets & Advisory;L2Capital Markets;L3FM Capital Markets - Inp;L4Capital Markets - Inp;
Banking,Lending & Financial Solutions,CRE,CRE Distribution,CRE Distribution,FPNA,;L0Banking;L1Lending & Financial Solutions;L2CRE;L3CRE Distribution;L4CRE Distribution;
Banking,Lending & Financial Solutions,CRE,CRE Origination,CRE Input,FPNA,;L0Banking;L1Lending & Financial Solutions;L2CRE;L3CRE Origination;L4CRE Input;
Banking,Lending & Financial Solutions,CRE,CRE Origination,Commercial Real Estate Origination,FPNA,;L0Banking;L1Lending & Financial Solutions;L2CRE;L3CRE Origination;L4Commercial Real Estate Origination;
Banking,Lending & Financial Solutions,CRE,CRE Origination,Commercial Real Estate Origination- SPPI,FPNA,;L0Banking;L1Lending & Financial Solutions;L2CRE;L3CRE Origination;L4Commercial Real Estate Origination- SPPI;
Banking,Lending & Financial Solutions,CRE,CRE Private & Traded Credit,CRE PTC Distribution,FPNA,;L0Banking;L1Lending & Financial Solutions;L2CRE;L3CRE Private & Traded Credit;L4CRE PTC Distribution;
Banking,Lending & Financial Solutions,Data Centre,Data Centre,Data Centre Distribution,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Data Centre;L3Data Centre;L4Data Centre Distribution;
Banking,Lending & Financial Solutions,Financing Solutions,FS Banking,FS Cross Sell,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Financing Solutions;L3FS Banking;L4FS Cross Sell;
Banking,Lending & Financial Solutions,Financing Solutions,FS Banking,FS-Banking,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Financing Solutions;L3FS Banking;L4FS-Banking;
Banking,Lending & Financial Solutions,Financing Solutions,FS Distribution,FS Distribution,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Financing Solutions;L3FS Distribution;L4FS Distribution;
Banking,Lending & Financial Solutions,Financing Solutions,FS Origination,Financing Solutions Origination,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Financing Solutions;L3FS Origination;L4Financing Solutions Origination;
Banking,Lending & Financial Solutions,Financing Solutions,FS Private & Traded Credit,FS PTC Distribution,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Financing Solutions;L3FS Private & Traded Credit;L4FS PTC Distribution;
Banking,Lending & Financial Solutions,Financing Solutions,FS Structured Rate Bonds,FS Structured Rate Bonds,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Financing Solutions;L3FS Structured Rate Bonds;L4FS Structured Rate Bonds;
Banking,Lending & Financial Solutions,Financing Solutions,FS Structured Rate Loans,FS Structured Rate Loans,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Financing Solutions;L3FS Structured Rate Loans;L4FS Structured Rate Loans;
Banking,Lending & Financial Solutions,Financing Solutions,Financing Solutions Input,Financing Solutions Input,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Financing Solutions;L3Financing Solutions Input;L4Financing Solutions Input;
Banking,Lending & Financial Solutions,Fund Finance,Fund Finance Distribution,Subscription Finance Distribution,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Fund Finance;L3Fund Finance Distribution;L4Subscription Finance Distribution;
Banking,Lending & Financial Solutions,Fund Finance,Fund Finance Origination,FF Others Origination,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Fund Finance;L3Fund Finance Origination;L4FF Others Origination;
Banking,Lending & Financial Solutions,Fund Finance,Fund Finance Origination,GP/Management Co Financing Origination,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Fund Finance;L3Fund Finance Origination;L4GP/Management Co Financing Origination;
Banking,Lending & Financial Solutions,Fund Finance,Fund Finance Origination,Hybrid/NAV Origination,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Fund Finance;L3Fund Finance Origination;L4Hybrid/NAV Origination;
Banking,Lending & Financial Solutions,Fund Finance,Fund Finance Origination,Subscription Finance Origination,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Fund Finance;L3Fund Finance Origination;L4Subscription Finance Origination;
Banking,Lending & Financial Solutions,Infra Develop Fin Grp,Develop Agency Fin Dist,DAF - Comm & Clean Syndication,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Infra Develop Fin Grp;L3Develop Agency Fin Dist;L4DAF - Comm & Clean Syndication;
Banking,Lending & Financial Solutions,Infra Develop Fin Grp,Develop Agency Fin Dist,DAF- Covered Syndications,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Infra Develop Fin Grp;L3Develop Agency Fin Dist;L4DAF- Covered Syndications;
Banking,Lending & Financial Solutions,Infra Develop Fin Grp,Development & Agency Finance Origination,DAF - Commercial & Clean - Origination,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Infra Develop Fin Grp;L3Development & Agency Finance Origination;L4DAF - Commercial & Clean - Origination;
Banking,Lending & Financial Solutions,Infra Develop Fin Grp,Development & Agency Finance Origination,DAF - Covered - Origination,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Infra Develop Fin Grp;L3Development & Agency Finance Origination;L4DAF - Covered - Origination;
Banking,Lending & Financial Solutions,Infra Develop Fin Grp,IDFG - Warehouse,IDFG - Warehouse,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Infra Develop Fin Grp;L3IDFG - Warehouse;L4IDFG - Warehouse;
Banking,Lending & Financial Solutions,Infra Develop Fin Grp,IDFG Private & Traded Credit,IDFG PTC Distribution,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Infra Develop Fin Grp;L3IDFG Private & Traded Credit;L4IDFG PTC Distribution;
Banking,Lending & Financial Solutions,Infra Develop Fin Grp,Infra Develop Fin Grp Input,Infra Develop Fin Grp Input,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Infra Develop Fin Grp;L3Infra Develop Fin Grp Input;L4Infra Develop Fin Grp Input;
Banking,Lending & Financial Solutions,Infra Develop Fin Grp,Project Finance Distribution,PF - Commercial & Clean Syndications,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Infra Develop Fin Grp;L3Project Finance Distribution;L4PF - Commercial & Clean Syndications;
Banking,Lending & Financial Solutions,Infra Develop Fin Grp,Project Finance Distribution,PF - Covered Syndications,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Infra Develop Fin Grp;L3Project Finance Distribution;L4PF - Covered Syndications;
Banking,Lending & Financial Solutions,Infra Develop Fin Grp,Project Finance Origination,PF - Commercial & Clean - Origination,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Infra Develop Fin Grp;L3Project Finance Origination;L4PF - Commercial & Clean - Origination;
Banking,Lending & Financial Solutions,Infra Develop Fin Grp,Project Finance Origination,PF - Covered - Origination,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Infra Develop Fin Grp;L3Project Finance Origination;L4PF - Covered - Origination;
Banking,Lending & Financial Solutions,LAF and Private Credit,Finco Desk,Finco Desk,FPNA,;L0Banking;L1Lending & Financial Solutions;L2LAF and Private Credit;L3Finco Desk;L4Finco Desk;
Banking,Lending & Financial Solutions,LAF and Private Credit,LAF Bonds,LAF Bonds,FPNA,;L0Banking;L1Lending & Financial Solutions;L2LAF and Private Credit;L3LAF Bonds;L4LAF Bonds;
Banking,Lending & Financial Solutions,LAF and Private Credit,LAF Distribution,LAF Distribution,FPNA,;L0Banking;L1Lending & Financial Solutions;L2LAF and Private Credit;L3LAF Distribution;L4LAF Distribution;
Banking,Lending & Financial Solutions,LAF and Private Credit,LAF Origination,Leverage & Acquisition Finance Origination,FPNA,;L0Banking;L1Lending & Financial Solutions;L2LAF and Private Credit;L3LAF Origination;L4Leverage & Acquisition Finance Origination;
Banking,Lending & Financial Solutions,LAF and Private Credit,LAF Origination,Leverage & Acquisition Finance SPPI,FPNA,;L0Banking;L1Lending & Financial Solutions;L2LAF and Private Credit;L3LAF Origination;L4Leverage & Acquisition Finance SPPI;
Banking,Lending & Financial Solutions,LAF and Private Credit,LAF Private & Traded Credit,LAF PTC Distribution,FPNA,;L0Banking;L1Lending & Financial Solutions;L2LAF and Private Credit;L3LAF Private & Traded Credit;L4LAF PTC Distribution;
Banking,Lending & Financial Solutions,LAF and Private Credit,LAF Private & Traded Credit,LAF PTC Hold,FPNA,;L0Banking;L1Lending & Financial Solutions;L2LAF and Private Credit;L3LAF Private & Traded Credit;L4LAF PTC Hold;
Banking,Lending & Financial Solutions,LAF and Private Credit,Leverage & Acquisition Financing Input,Leverage & Acquisition Financing Input,FPNA,;L0Banking;L1Lending & Financial Solutions;L2LAF and Private Credit;L3Leverage & Acquisition Financing Input;L4Leverage & Acquisition Financing Input;
Banking,Lending & Financial Solutions,Lending & Financing Solutions Others,Lending & Financing Solutions Others,AG IGG,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Lending & Financing Solutions Others;L3Lending & Financing Solutions Others;L4AG IGG;
Banking,Lending & Financial Solutions,Lending & Financing Solutions Others,Lending & Financing Solutions Others,CLO,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Lending & Financing Solutions Others;L3Lending & Financing Solutions Others;L4CLO;
Banking,Lending & Financial Solutions,Lending & Financing Solutions Others,Lending & Financing Solutions Others,Chakras,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Lending & Financing Solutions Others;L3Lending & Financing Solutions Others;L4Chakras;
Banking,Lending & Financial Solutions,Lending & Financing Solutions Others,Lending & Financing Solutions Others,Funding Relief,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Lending & Financing Solutions Others;L3Lending & Financing Solutions Others;L4Funding Relief;
Banking,Lending & Financial Solutions,Lending & Financing Solutions Others,Lending & Financing Solutions Others,GCIG,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Lending & Financing Solutions Others;L3Lending & Financing Solutions Others;L4GCIG;
Banking,Lending & Financial Solutions,Lending & Financing Solutions Others,Lending & Financing Solutions Others,L&FS Others,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Lending & Financing Solutions Others;L3Lending & Financing Solutions Others;L4L&FS Others;
Banking,Lending & Financial Solutions,Lending & Financing Solutions Others,Lending & Financing Solutions Others,Lending & Financing Solutions Others Input,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Lending & Financing Solutions Others;L3Lending & Financing Solutions Others;L4Lending & Financing Solutions Others Input;
Banking,Lending & Financial Solutions,Lending & Financing Solutions Others,Lending & Financing Solutions Others,Prior Year OR,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Lending & Financing Solutions Others;L3Lending & Financing Solutions Others;L4Prior Year OR;
Banking,Lending & Financial Solutions,Transportation,Transportation - Inp,Transportation - Inp,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Transportation;L3Transportation - Inp;L4Transportation - Inp;
Banking,Lending & Financial Solutions,Transportation,Transportation Banking,Principal Struct Finance,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Transportation;L3Transportation Banking;L4Principal Struct Finance;
Banking,Lending & Financial Solutions,Transportation,Transportation Banking,Shipping Banking,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Transportation;L3Transportation Banking;L4Shipping Banking;
Banking,Lending & Financial Solutions,Transportation,Transportation Distribution,Aviation Distribution,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Transportation;L3Transportation Distribution;L4Aviation Distribution;
Banking,Lending & Financial Solutions,Transportation,Transportation Distribution,Shipping Distribution,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Transportation;L3Transportation Distribution;L4Shipping Distribution;
Banking,Lending & Financial Solutions,Transportation,Transportation Operations Lease,Aviation Operating Origination,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Transportation;L3Transportation Operations Lease;L4Aviation Operating Origination;
Banking,Lending & Financial Solutions,Transportation,Transportation Operations Lease,Shipping Operating Origination,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Transportation;L3Transportation Operations Lease;L4Shipping Operating Origination;
Banking,Lending & Financial Solutions,Transportation,Transportation Origination,Aviation Debt - Finance,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Transportation;L3Transportation Origination;L4Aviation Debt - Finance;
Banking,Lending & Financial Solutions,Transportation,Transportation Origination,Shipping Debt - Origination,FPNA,;L0Banking;L1Lending & Financial Solutions;L2Transportation;L3Transportation Origination;L4Shipping Debt - Origination;
Banking,Lending & Financing Solutions,CRE,CRE Distribution,CRE Distribution,CIB,;L0Banking;L1Lending & Financing Solutions;L2CRE;L3CRE Distribution;L4CRE Distribution;
Banking,Lending & Financing Solutions,CRE,CRE Origination,CRE Input,CIB,;L0Banking;L1Lending & Financing Solutions;L2CRE;L3CRE Origination;L4CRE Input;
Banking,Lending & Financing Solutions,CRE,CRE Origination,Commercial Real Estate Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2CRE;L3CRE Origination;L4Commercial Real Estate Origination;
Banking,Lending & Financing Solutions,CRE,CRE Origination,Commercial Real Estate Origination- SPPI,CIB,;L0Banking;L1Lending & Financing Solutions;L2CRE;L3CRE Origination;L4Commercial Real Estate Origination- SPPI;
Banking,Lending & Financing Solutions,CRE,CRE Private & Traded Credit,CRE PTC Distribution,CIB,;L0Banking;L1Lending & Financing Solutions;L2CRE;L3CRE Private & Traded Credit;L4CRE PTC Distribution;
Banking,Lending & Financing Solutions,CRE,Lending,Lending_Input,CIB,;L0Banking;L1Lending & Financing Solutions;L2CRE;L3Lending;L4Lending_Input;
Banking,Lending & Financing Solutions,Data Centre,Data Centre Distribution,Data Centre Distribution,CIB,;L0Banking;L1Lending & Financing Solutions;L2Data Centre;L3Data Centre Distribution;L4Data Centre Distribution;
Banking,Lending & Financing Solutions,Financing Solutions,FS Banking,FS Cross Sell,CIB,;L0Banking;L1Lending & Financing Solutions;L2Financing Solutions;L3FS Banking;L4FS Cross Sell;
Banking,Lending & Financing Solutions,Financing Solutions,FS Banking,FS Structured Rate Bonds,CIB,;L0Banking;L1Lending & Financing Solutions;L2Financing Solutions;L3FS Banking;L4FS Structured Rate Bonds;
Banking,Lending & Financing Solutions,Financing Solutions,FS Banking,FS Structured Rate Loans,CIB,;L0Banking;L1Lending & Financing Solutions;L2Financing Solutions;L3FS Banking;L4FS Structured Rate Loans;
Banking,Lending & Financing Solutions,Financing Solutions,FS Banking,FS-Banking,CIB,;L0Banking;L1Lending & Financing Solutions;L2Financing Solutions;L3FS Banking;L4FS-Banking;
Banking,Lending & Financing Solutions,Financing Solutions,FS Distribution,FS Distribution,CIB,;L0Banking;L1Lending & Financing Solutions;L2Financing Solutions;L3FS Distribution;L4FS Distribution;
Banking,Lending & Financing Solutions,Financing Solutions,FS Origination,Financing Solutions Input,CIB,;L0Banking;L1Lending & Financing Solutions;L2Financing Solutions;L3FS Origination;L4Financing Solutions Input;
Banking,Lending & Financing Solutions,Financing Solutions,FS Origination,Financing Solutions Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Financing Solutions;L3FS Origination;L4Financing Solutions Origination;
Banking,Lending & Financing Solutions,Financing Solutions,FS Private & Traded Credit,FS PTC Distribution,CIB,;L0Banking;L1Lending & Financing Solutions;L2Financing Solutions;L3FS Private & Traded Credit;L4FS PTC Distribution;
Banking,Lending & Financing Solutions,Fund Finance,Fund Finance Distribution,Subscription Finance Distribution,CIB,;L0Banking;L1Lending & Financing Solutions;L2Fund Finance;L3Fund Finance Distribution;L4Subscription Finance Distribution;
Banking,Lending & Financing Solutions,Fund Finance,Fund Finance Origination,FF Others Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Fund Finance;L3Fund Finance Origination;L4FF Others Origination;
Banking,Lending & Financing Solutions,Fund Finance,Fund Finance Origination,GP/Management Co Financing Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Fund Finance;L3Fund Finance Origination;L4GP/Management Co Financing Origination;
Banking,Lending & Financing Solutions,Fund Finance,Fund Finance Origination,Hybrid/NAV Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Fund Finance;L3Fund Finance Origination;L4Hybrid/NAV Origination;
Banking,Lending & Financing Solutions,Fund Finance,Fund Finance Origination,Subscription Finance Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Fund Finance;L3Fund Finance Origination;L4Subscription Finance Origination;
Banking,Lending & Financing Solutions,"GCIC, PM Cost and Others",Risk & Others,Financing Risk Others - Inp,CIB,";L0Banking;L1Lending & Financing Solutions;L2GCIC, PM Cost and Others;L3Risk & Others;L4Financing Risk Others - Inp;"
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Development & Agency Finance Distribution,DAF - Comm & Clean Syndication,CIB,;L0Banking;L1Lending & Financing Solutions;L2Infrastructure and Development Finance Group;L3Development & Agency Finance Distribution;L4DAF - Comm & Clean Syndication;
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Development & Agency Finance Distribution,DAF- Covered Syndications,CIB,;L0Banking;L1Lending & Financing Solutions;L2Infrastructure and Development Finance Group;L3Development & Agency Finance Distribution;L4DAF- Covered Syndications;
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Development & Agency Finance Origination,DAF - Commercial & Clean - Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Infrastructure and Development Finance Group;L3Development & Agency Finance Origination;L4DAF - Commercial & Clean - Origination;
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Development & Agency Finance Origination,DAF - Covered - Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Infrastructure and Development Finance Group;L3Development & Agency Finance Origination;L4DAF - Covered - Origination;
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,IDFG - Warehouse,IDFG - Warehouse,CIB,;L0Banking;L1Lending & Financing Solutions;L2Infrastructure and Development Finance Group;L3IDFG - Warehouse;L4IDFG - Warehouse;
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,IDFG Private & Traded Credit,IDFG PTC Distribution,CIB,;L0Banking;L1Lending & Financing Solutions;L2Infrastructure and Development Finance Group;L3IDFG Private & Traded Credit;L4IDFG PTC Distribution;
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Infrastructure and Development Finance Group Input,Infrastructure and Development Finance Group Input,CIB,;L0Banking;L1Lending & Financing Solutions;L2Infrastructure and Development Finance Group;L3Infrastructure and Development Finance Group Input;L4Infrastructure and Development Finance Group Input;
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Project Finance Distribution,PF - Commercial & Clean Syndications,CIB,;L0Banking;L1Lending & Financing Solutions;L2Infrastructure and Development Finance Group;L3Project Finance Distribution;L4PF - Commercial & Clean Syndications;
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Project Finance Distribution,PF - Covered Syndications,CIB,;L0Banking;L1Lending & Financing Solutions;L2Infrastructure and Development Finance Group;L3Project Finance Distribution;L4PF - Covered Syndications;
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Project Finance Origination,PF - Commercial & Clean - Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Infrastructure and Development Finance Group;L3Project Finance Origination;L4PF - Commercial & Clean - Origination;
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Project Finance Origination,PF - Covered - Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Infrastructure and Development Finance Group;L3Project Finance Origination;L4PF - Covered - Origination;
Banking,Lending & Financing Solutions,Infrastructure and Development Finance Group,Project Finance Origination,Project Finance Origination,CIB,;L0Banking;L1Lending & Financing Solutions;L2Infrastructure and Development Finance Group;L3Project Finance Origination;L4Project Finance Origination;
Banking,Lending & Financing Solutions,Lending & Financing Solutions Others,AG IGG,AG IGG,CIB,;L0Banking;L1Lending & Financing Solutions;L2Lending & Financing Solutions Others;L3AG IGG;L4AG IGG;
Banking,Lending & Financing Solutions,Lending & Financing Solutions Others,CLO,CLO,CIB,;L0Banking;L1Lending & Financing Solutions;L2Lending & Financing Solutions Others;L3CLO;L4CLO;
Banking,Lending & Financing Solutions,Lending & Financing Solutions Others,Chakras,Chakras,CIB,;L0Banking;L1Lending & Financing Solutions;L2Lending & Financing Solutions Others;L3Chakras;L4Chakras;
Banking,Lending & Financing Solutions,Lending & Financing Solutions Others,Funding Relief,Funding Relief,CIB,;L0Banking;L1Lending & Financing Solutions;L2Lending & Financing Solutions Others;L3Funding Relief;L4Funding Relief;
Banking,Lending & Financing Solutions,Lending & Financing Solutions Others,GCIG,GCIG,CIB,;L0Banking;L1Lending & Financing Solutions;L2Lending & Financing Solutions Others;L3GCIG;L4GCIG;
Banking,Lending & Financing Solutions,Lending & Financing Solutions Others,L&FS Others,L&FS Others,CIB,;L0Banking;L1Lending & Financing Solutions;L2Lending & Financing Solutions Others;L3L&FS Others;L4L&FS Others;
Banking,Lending & Financing Solutions,Lending & Financing Solutions Others,Lending & Financing Solutions Others Input,Lending & Financing Solutions Others Input,CIB,;L0Banking;L1Lending & Financing Solutions;L2Lending & Financing Solutions Others;L3Lending & Financing Solutions Others Input;L4Lending & Financing Solutions Others Input;
