,,Mandatory,Mandatory,Mandatory,Mandatory,``,Mandatory,Mandatory,Mandatory,Mandatory,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",CCP_IDENTIFIER,STG_BCRS,BSI_REM_FACT,CCP_IDENTIFIER,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",CCR_TYPE,STG_BCRS,BSI_REM_FACT,CCR_TYPE,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",COLLATERAL_ATTRIBUTE_8,STG_BCRS,BSI_REM_FACT,COLLATERAL_ATTRIBUTE_8,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",COLLATERAL_ATTRIBUTE_9,STG_BCRS,BSI_REM_FACT,COLLATERAL_ATTRIBUTE_9,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",COLLATERAL_BIS_PRODUCT,STG_BCRS,BSI_REM_FACT,COLLATERAL_BIS_PRODUCT,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",COLLATERAL_CONTRACT_TYPE,STG_BCRS,BSI_REM_FACT,COLLATERAL_CONTRACT_TYPE,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",COLLATERAL_PRODUCT_CATEGORY,STG_BCRS,BSI_REM_FACT,COLLATERAL_PRODUCT_CATEGORY,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",COLLATERAL_REFERENCE,STG_BCRS,BSI_REM_FACT,COLLATERAL_REFERENCE,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",CONTRACT_DESCRIPTION,STG_BCRS,BSI_REM_FACT,CONTRACT_DESCRIPTION,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",CONTRACT_TYPE,STG_BCRS,BSI_REM_FACT,CONTRACT_TYPE,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",COUNTERPARTY_BEFORE_CRM_SCORECARD,STG_BCRS,BSI_REM_FACT,COUNTERPARTY_BEFORE_CRM_SCORECARD,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",COUNTERPARTY_ID,STG_BCRS,BSI_REM_FACT,COUNTERPARTY_ID,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",COUNTERPARTY_ID_BEFORE_CRM,STG_BCRS,BSI_REM_FACT,COUNTERPARTY_ID_BEFORE_CRM,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",COUNTERPARTY_NAME,STG_BCRS,BSI_REM_FACT,COUNTERPARTY_NAME,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",COUNTERPARTY_NAME_BEFORE_CRM,STG_BCRS,BSI_REM_FACT,COUNTERPARTY_NAME_BEFORE_CRM,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",COUNTERPARTY_SCORECARD,STG_BCRS,BSI_REM_FACT,COUNTERPARTY_SCORECARD,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",COUNTERPARTY_TYPE_NEW,STG_BCRS,BSI_REM_FACT,COUNTERPARTY_TYPE_NEW,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",COUNTERPARTY_TYPE_ORIGINAL,STG_BCRS,BSI_REM_FACT,COUNTERPARTY_TYPE_ORIGINAL,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DATA_CONTEXT,STG_BCRS,BSI_REM_FACT,DATA_CONTEXT,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DATA_KEY,STG_BCRS,BSI_REM_FACT,DATA_KEY,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DATA_SOURCE,STG_BCRS,BSI_REM_FACT,DATA_SOURCE,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DEALBOOK,STG_BCRS,BSI_REM_FACT,DEALBOOK,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DELIMIT,STG_BCRS,BSI_REM_FACT,DELIMIT,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DIVISION_CODE,STG_BCRS,BSI_REM_FACT,DIVISION_CODE,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_10,STG_BCRS,BSI_REM_FACT,DUMMY_10,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_11,STG_BCRS,BSI_REM_FACT,DUMMY_11,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_12,STG_BCRS,BSI_REM_FACT,DUMMY_12,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_13,STG_BCRS,BSI_REM_FACT,DUMMY_13,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_14,STG_BCRS,BSI_REM_FACT,DUMMY_14,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_15,STG_BCRS,BSI_REM_FACT,DUMMY_15,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_16,STG_BCRS,BSI_REM_FACT,DUMMY_16,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_17,STG_BCRS,BSI_REM_FACT,DUMMY_17,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_18,STG_BCRS,BSI_REM_FACT,DUMMY_18,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_19,STG_BCRS,BSI_REM_FACT,DUMMY_19,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_20,STG_BCRS,BSI_REM_FACT,DUMMY_20,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_21,STG_BCRS,BSI_REM_FACT,DUMMY_21,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_22,STG_BCRS,BSI_REM_FACT,DUMMY_22,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_23,STG_BCRS,BSI_REM_FACT,DUMMY_23,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_24,STG_BCRS,BSI_REM_FACT,DUMMY_24,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_25,STG_BCRS,BSI_REM_FACT,DUMMY_25,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_26,STG_BCRS,BSI_REM_FACT,DUMMY_26,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_27,STG_BCRS,BSI_REM_FACT,DUMMY_27,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_28,STG_BCRS,BSI_REM_FACT,DUMMY_28,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_29,STG_BCRS,BSI_REM_FACT,DUMMY_29,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_3,STG_BCRS,BSI_REM_FACT,DUMMY_3,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_30,STG_BCRS,BSI_REM_FACT,DUMMY_30,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_4,STG_BCRS,BSI_REM_FACT,DUMMY_4,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_5,STG_BCRS,BSI_REM_FACT,DUMMY_5,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_6,STG_BCRS,BSI_REM_FACT,DUMMY_6,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_7,STG_BCRS,BSI_REM_FACT,DUMMY_7,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_8,STG_BCRS,BSI_REM_FACT,DUMMY_8,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",DUMMY_9,STG_BCRS,BSI_REM_FACT,DUMMY_9,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",EAD,STG_BCRS,BSI_REM_FACT,EAD,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",EAD_BEFORE_CCF,STG_BCRS,BSI_REM_FACT,EAD_BEFORE_CCF,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",EAD_PRO,STG_BCRS,BSI_REM_FACT,EAD_PRO,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",ENV,STG_BCRS,BSI_REM_FACT,ENV,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",EXPECTED_LOSS,STG_BCRS,BSI_REM_FACT,EXPECTED_LOSS,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",EXPOSURE_ATTRIBUTE_6,STG_BCRS,BSI_REM_FACT,EXPOSURE_ATTRIBUTE_6,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",EXPOSURE_CLASS_L1,STG_BCRS,BSI_REM_FACT,EXPOSURE_CLASS_L1,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",EXPOSURE_METHOD,STG_BCRS,BSI_REM_FACT,EXPOSURE_METHOD,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",EXPOSURE_TYPE,STG_BCRS,BSI_REM_FACT,EXPOSURE_TYPE,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",FACILITY_REFERENCE,STG_BCRS,BSI_REM_FACT,FACILITY_REFERENCE,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",FAIR_VALUE,STG_BCRS,BSI_REM_FACT,FAIR_VALUE,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",FINAL_RISK_WEIGHT,STG_BCRS,BSI_REM_FACT,FINAL_RISK_WEIGHT,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",GUARANTEE_BIS_PRODUCT,STG_BCRS,BSI_REM_FACT,GUARANTEE_BIS_PRODUCT,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",GUARANTEE_CONTRACT_TYPE,STG_BCRS,BSI_REM_FACT,GUARANTEE_CONTRACT_TYPE,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",GUARANTEE_REFERENCE,STG_BCRS,BSI_REM_FACT,GUARANTEE_REFERENCE,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",IMPORT_SOURCE,STG_BCRS,BSI_REM_FACT,IMPORT_SOURCE,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",INDUSTRY,STG_BCRS,BSI_REM_FACT,INDUSTRY,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",INTER_COMPANY,STG_BCRS,BSI_REM_FACT,INTER_COMPANY,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",INTRAGROUP,STG_BCRS,BSI_REM_FACT,INTRAGROUP,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",IRB_INTERNAL_RATING,STG_BCRS,BSI_REM_FACT,IRB_INTERNAL_RATING,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",IRB_LOSS_GIVEN_DEFAULT_LGD,STG_BCRS,BSI_REM_FACT,IRB_LOSS_GIVEN_DEFAULT_LGD,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",IRB_PROBABILITY_OF_DEFAULT_PD,STG_BCRS,BSI_REM_FACT,IRB_PROBABILITY_OF_DEFAULT_PD,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",IS_ELIGIBLE_CVA,STG_BCRS,BSI_REM_FACT,IS_ELIGIBLE_CVA,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",K_FUNCTION_USED,STG_BCRS,BSI_REM_FACT,K_FUNCTION_USED,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",LINE_OF_BUSINESS_L5,STG_BCRS,BSI_REM_FACT,LINE_OF_BUSINESS_L5,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",LOB_KEY,STG_BCRS,BSI_REM_FACT,LOB_KEY,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",LOB_MAPPING_DIMENSION,STG_BCRS,BSI_REM_FACT,LOB_MAPPING_DIMENSION,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",MATURITY_BUCKET,STG_BCRS,BSI_REM_FACT,MATURITY_BUCKET,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",METHOD_ORIGINAL,STG_BCRS,BSI_REM_FACT,METHOD_ORIGINAL,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",NETTING_AGREEMENT_REFERENCE,STG_BCRS,BSI_REM_FACT,NETTING_AGREEMENT_REFERENCE,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",NOTIONAL,STG_BCRS,BSI_REM_FACT,NOTIONAL,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",OTC_OFB_CLASSIFICATION,STG_BCRS,BSI_REM_FACT,OTC_OFB_CLASSIFICATION,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",OUTSTANDING,STG_BCRS,BSI_REM_FACT,OUTSTANDING,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",PARTITION_KEY,STG_BCRS,BSI_REM_FACT,PARTITION_KEY,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",PD_ORIGINAL,STG_BCRS,BSI_REM_FACT,PD_ORIGINAL,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",PFE,STG_BCRS,BSI_REM_FACT,PFE,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",POOL_CODE_RETAIL,STG_BCRS,BSI_REM_FACT,POOL_CODE_RETAIL,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",PRODUCT_GL_CRITERIA,STG_BCRS,BSI_REM_FACT,PRODUCT_GL_CRITERIA,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",QUALIFYING_CCP,STG_BCRS,BSI_REM_FACT,QUALIFYING_CCP,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",RC,STG_BCRS,BSI_REM_FACT,RC,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",REPORTING_CATEGORY,STG_BCRS,BSI_REM_FACT,REPORTING_CATEGORY,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",REPORTING_CLASSIFICATION,STG_BCRS,BSI_REM_FACT,REPORTING_CLASSIFICATION,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",RISK_TYPE,STG_BCRS,BSI_REM_FACT,RISK_TYPE,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",RISK_WEIGHT_METHOD,STG_BCRS,BSI_REM_FACT,RISK_WEIGHT_METHOD,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",RW_ORIGINAL,STG_BCRS,BSI_REM_FACT,RW_ORIGINAL,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",RWA,STG_BCRS,BSI_REM_FACT,RWA,,DECIMAL,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",SUB_METHOD_NEW,STG_BCRS,BSI_REM_FACT,SUB_METHOD_NEW,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",SUB_METHOD_ORIGINAL,STG_BCRS,BSI_REM_FACT,SUB_METHOD_ORIGINAL,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",TABLE_NAME,STG_BCRS,BSI_REM_FACT,TABLE_NAME,,NVARCHAR,,,
,TREASURY_CAPITAL,BCRS,"SCBI_DATACTRL.""STG_BASELMI_FACT_MAIN""",TOTAL_ANNUAL_SALE,STG_BCRS,BSI_REM_FACT,TOTAL_ANNUAL_SALE,,DECIMAL,,,
