Requester,Requester,Requester,Requester,Requester,Requester,Requester,Requester,Requester,Data Chapter,Data Chapter / Delivery Squad,Requester / BTP Tech,Requester / BTP Tech,Requester / Upstream Tech,Requester / Upstream Tech,Upstream Tech + BTP Tech,Upstream Tech + BTP Tech,Do Not Use - To be Deleted,Requester + Upstream Tech,Requester,Requester,Requester,Requester,Requester,BTP Tech,BTP Tech,BTP Tech,BTP Tech,Requester,Requester,Requester,Upstream Tech + BTP Tech,Upstream Tech + BTP Tech,Upstream Tech + BTP Tech,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,/BA1/F1_CON_FLAT,Contract static data for FM,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,SCBANK/ICA,Industry classification and cont mapping,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,SCBANK/IC,Industry classification for banking,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,SCBANK/FCON,Contract static data FOR Non FM,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,GCM_PCVC Mapping,SL Account mapping for PC reporting for banking,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,SCBANK/BP,Business partner details for non FM,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,SCBANK/BPFCA,Business partner contract link table ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,SCBANK/IR,Interest rate details for banking,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,/BA1/TBR_SLAT,SL segmentation details ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,/BIC/TC_ADJTYPE,Adjustment type list ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,/BIC/TC_PSGLAC,PSGL Account ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,/SCBANK/TLEVELS,Trade levelling details in Aspire,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_067,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,RFTP,TPACE data ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,Portfolio Hirerachy_EXT,Portfolio Hierarchy reference data ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,Adjustment Type and Sub-Type,Adj type reference data ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,SCBANK_SLAC_MAP,SL Account mapping for PC reporting,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,Regional Hierarchy_EXT,Country to region mapping in ICON,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,GCM DPL Hierarchy,Banking DPL Mapping,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,GCM_BUDGET,Budget reference data ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,Accrual,Accrual details for FM systems ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,ApplicableInterestRate,Interest rate for FM ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,BusinessPartner,Business partner details for FM,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,BusinessPartnerClassification,Counterparty classification,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,BusinessPartnerContractAssignment,Business partner contract link table for FM,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,BusinessPartnerRelation,Business partner relation table for FM,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,C_GenericFinancialContractExtensions,Contarct static for FM data ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,C_GenericTradeExtensions,Trade static for FM data ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,Collection_EXT,PCT2 data for Aspire to be used for ICON reporting,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,ContractStatus,Contract status table ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,EndOfDayPriceObservation,Instrument eod Price table for FM ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,FinancialContract/Trade,Financial contract and trade details for FM,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,FinancialContractReferenceID,Contract Ref id linkage for FM,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,IndustryClassAssignment,Industry classification for FM,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,ProductCatalogAssignment,Product mapping for FM,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,ProductClassificationOfFinancialContract,Product to Contract linkage ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
FS_037,FM,FPSL (FM & Non FM),FM Trade Level,,Structured,,/SCBANK/SDBDATA,Sales Data base data ,Prioritized,9-Feb-26,,,,,,,,,,,Daily,,,T+1,T+2,Daily,,,,,,,,,,,,
??,Climate Monthly,PMI Oracle,Sustainable Finance,Ramakrishnan,Structured,,ESG_SF_FLAT,ESG SF Finance Data,Live,NA,No,NA,,15M+,Full,Remote Table,Current Year,Current Year,,,Fortnightly,5 Years,,"T+11, T+20",T+11/T+25,Fortnightly,5 Years,Internal,No,Yes,Yes,Yes, , ,,,,
??,Climate Monthly,PAPM,Carbon,Ramakrishnan,Structured,,ZSUS_PAPM_ACTUALS,Carbon Data,Live,NA,No,NA,,3M+,Full,Remote Table,Life to Date Version,Current Year,,,Monthly,5 Years,,T+20,T+11/T+25,Monthly,5 Years,Internal,No,Yes,Yes,Yes, , ,,,,
??,Climate Monthly,FDP,Deal,Ramakrishnan,Structured,,CRMX_ESG,Deal Data,Live,NA,No,NA,,500K,Full,Remote Table,Life to Date Version,Life to Date,,,Daily,5 Years,, ,T+1,Daily,5 Years,Internal,No,Yes,Yes,Yes, , ,,,,
??,Climate Monthly,DataIKU,CIB,Ramakrishnan,Structured,,ESG_SF_FULL,CIB Data,Live,NA,No,NA,,13M+,Full,Remote Table,Life to Date Version,Life to Date,,,Fortnightly,5 Years,,"T+11, T+20",T+11/T+25,Fortnightly,5 Years,Internal,No,Yes,Yes,Yes, , ,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"Numerous tables, refer to ADO 11808900",BPC Reference data,Live,,,,,,Full,,,,,,Daily,5 Years,,T+1,,Daily,5 Years,Internal,No,Yes,,,,,,,,
FS_112,Consoldiated Financials,BPC,Standard Finance Report,Srinivasan,Structured,,"ZFI_FIN_OVER_AFO_CP_FIN
Composite Provider : ZFI_REP01",Actual SFR data,Live,,,,,,Full,,Life to Date Version,NA,,,Daily,5 Years,,T+1,,Daily,5 Years,Internal,No,Yes,Yes,,,,,,,
FS_029,BART,BART,Benefits,Martyna,Structured,,Fact Table from Planning platform,,Not Prioritized,,,,,,Full,,Life to Date Version,,,,Daily,5 Years,,,,Daily,5 Years,Internal,No,Yes,Yes,,,,,,,
FS_030,WFP,WFP,Workforce: Cost and Headcount,Martyna,Structured,,Fact and dimensions from Planning platform,,Prioritized,20-Feb-26,,,,,,,Last 2 years and 5 outer years,,,,Daily,5 Years,,,,Daily,5 Years,Internal,No,Yes,Yes,,,,,,,
FS_058,CLARITY,CLARITY,Investment data,Martyna,Structured,,manual upload,,Not Prioritized,,,,,,,,Current year,,,,Daily,5 Years,,,,Daily,5 Years,Internal,No,Yes,No,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::ADJ_SUB_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::Accrual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::ApplicableInterestRate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::BATCH_TP_Ref_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::BusinessPartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::BusinessPartnerClassification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::BusinessPartnerContractAssignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::BusinessPartnerRelation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::BusinessPartnerTradeAssignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::CASCADE_DPL_CC_MAPPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::CASCADE_DPL_MAPPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::CREDIT_GRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,downstreamextracts.db.CalcViews::CV_FinInstmHybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,customer.extension::C_GenericFinancialContractExtensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,customer.extension::C_GenericTradeExtensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,customer.extension::C_Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::ContractStatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::DQ_THEME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::EndOfDayPriceObservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::ExceptionGCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::FinancialContract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::FinancialContractReferenceID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::FinancialInstrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::GCM_Budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::GCM_DPL_Mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::GCM_FTP_Balances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::GCM_PCVC_Mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::IFRS_SCHEDULE_MAPPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::IndustryClassAssignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::JV_ALLOCATION_CONFIGURATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::MDU_PORTFOLIO_DELETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::MKT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::OAI_ALLOCATION_CONFIGURATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::PPOMEDETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::PPOME_MAINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::PRODUCT_CODE_MAPPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Portfolio_Controls_Hybrid_Mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Portfolio_Controls_PNL_Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Portfolio_Hierarchy_EXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::ProductCatalogAssignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::ProductClassificationOfFinancialContract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Regional_Hierarchy_EXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::S4_Tracker_Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::SCBANK_SLAC_MAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sdb_in_al.db.tables::SDB_SCI_GroupName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::SOURCE_SYSTEM_LIST_EXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,sap.fsdm::Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_BS_Category_Ref_Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_BS_FX_NONFX_REF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_BS_SLAC_MAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_CAP_GPTM_Ref_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_073,FM,FSDP (FM),FM Trade Level,Rohan,Structured,,fsdp_mdu.db.Tables::Treasury_CAP_GPTM_Ref_DATA_HSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
